title,imdb_score,predicted_score
The Quick and the Dead,6.5,5.788377880578821
You've Got Mail,6.7,6.799791507673239
Big Daddy,6.4,7.042924744719956
Vampires,6.1,5.68909504281071
Donnie Brasco,7.7,7.340066611528643
A River Runs Through It,7.2,6.8450922670551515
"Girl, Interrupted",7.3,7.172839034559944
Last Action Hero,6.4,6.375782812325113
My Girl,6.9,6.004215535980366
Wyatt Earp,6.7,7.058413949215139
Eraser,6.1,6.539353511831914
Neon Genesis Evangelion: The End of Evangelion,8.0,7.015808102501389
Vegas Vacation,5.9,6.366142237501898
In the Line of Fire,7.2,6.615626275144818
Little Women,7.3,6.1564725619777185
U.S. Marshals,6.5,6.399479430834186
Anaconda,4.8,5.691682905246239
The Replacements,6.6,6.59644131880458
Seven Years in Tibet,7.1,7.494276253443559
The Net,5.9,6.460288089001207
Cliffhanger,6.5,7.086769384490001
Menace II Society,7.5,6.610837987159908
Johnny Mnemonic,5.6,6.104200506414231
3 Ninjas Kick Back,4.5,5.681188937391121
Edge of Seventeen,6.8,6.34720739972728
The Devil's Own,6.2,6.307670379356754
Spawn,5.2,5.925033080143777
Croupier,7.0,6.626014649127146
The Next Karate Kid,4.5,5.791792698934545
Geronimo: An American Legend,6.5,7.005812934455771
Double Team,4.8,5.756117445274197
Heavy,6.8,6.387258396010385
The Players Club,5.9,6.7171896486512255
Kuch Kuch Hota Hai,7.6,6.979448257967532
Children of God,6.3,7.081387055841452
Knight Rider 2000,4.5,5.870983876626393
Hum Aapke Hain Koun..!,7.5,7.030017493203745
Dil Se..,7.5,6.8677065981502095
Jerry Seinfeld: I'm Telling You for the Last Time,7.9,7.140978058769716
Sankofa,7.0,6.737640482430287
Herod's Law,7.8,6.3714277434629345
Wild Tango,6.7,6.504496593310655
The Last Days,7.9,8.077678783747418
Sam Kinison: Live in Vegas,6.6,7.046621183484101
Bill Hicks: Revelations,8.5,7.12143660365644
Bombay,8.1,6.609044482842225
Mann,6.1,6.819153173089907
Soldier,6.2,6.17253399149848
Sinbad: Son of a Preacher Man,6.8,6.971999994628947
Damini,7.8,7.119196279233999
Hum Saath Saath Hain,6.2,6.576949543730956
Destiny,7.1,6.727091348831151
Chronicle of a Disappearance,6.9,6.514551458513546
Muthu,7.6,6.4245001436351865
Jeans,6.4,6.705273633580947
Monty Python: Live at Aspen,7.8,6.973055028858635
Minsara Kanavu,6.7,6.600030566452887
Duplicate,5.5,6.271366459564879
Avvai Shanmugi,7.9,7.092251799283964
Anjaam,6.6,6.366734084993376
A Triumph of the Heart: The Ricky Bell Story,7.2,6.615669353177437
Phir Bhi Dil Hai Hindustani,6.1,6.726704371683116
Children of Shatila,8.1,7.191231341624652
Tim Allen: Rewires America,6.0,6.759444050025848
West Beirut,7.6,6.474256476974039
Govindha Govindha,6.6,6.673190288076204
Out of Life,6.9,6.7678075954052686
Gumrah,6.1,6.419561314183402
Sinbad: Nothin' but the Funk,6.3,6.976377091628999
Sinbad: Afros and Bellbottoms,7.8,7.108018982063587
Fiza,6.0,6.257441836576355
Before the Flying Circus,7.3,6.908495279743155
The Other,5.9,6.235481024810649
Yodha,4.5,6.559011099591093
The Emigrant,6.5,6.764362108861817
Hello Brother,4.6,5.991440857911663
Dushmani,5.0,6.390173546235236
Nightmare in Columbia County,5.5,6.422361199965543
Shikari,5.8,6.785910219679549
The Mist,7.1,6.36081137251854
Mean Girls,7.1,7.171540451025461
Catch Me If You Can,8.1,8.990117632822383
Old School,7.0,6.7232000588075795
Anchorman: The Legend of Ron Burgundy,7.1,7.1069944215105165
Inception,8.8,10.767980413535799
The Departed,8.5,9.295390703671583
Insidious,6.8,6.229013746683778
War of the Worlds,6.5,6.791082998528957
Wanted,6.7,6.815153613388901
Casino Royale,8.0,7.430595792009326
The Terminal,7.4,7.411183224930949
Michael Clayton,7.2,6.889264392479025
Road to Perdition,7.7,8.035687672300973
Big Fish,8.0,7.1674535903453505
The Hurt Locker,7.5,7.837364928736134
Troy,7.3,8.339372951668409
Sherlock Holmes,7.6,7.47950614268918
Love Actually,7.6,7.55357446253014
Get Smart,6.5,6.408562969137136
Quantum of Solace,6.6,6.896618902411529
The Blind Side,7.6,7.568342868743639
Identity,7.3,6.620424044429543
I Am Legend,7.2,7.566167784667504
Grown Ups,5.9,6.932907817208632
The Girl Next Door,6.7,6.755495912401859
Public Enemies,7.0,7.5029664603770545
Not Another Teen Movie,5.7,6.514853430385982
Blow,7.5,7.307795301527208
Hancock,6.4,7.3640307948786
The Pursuit of Happyness,8.0,7.807230546592507
Monster,7.3,6.768823689170227
Rambo,7.0,6.476025266455292
Something's Gotta Give,6.7,6.7323060960020955
Harold & Kumar Go to White Castle,7.0,6.64225823109443
Thir13en Ghosts,5.6,5.820900032801016
Cloudy with a Chance of Meatballs,6.9,6.899301481731623
Halloween,6.0,6.259042877030714
Jackass: The Movie,6.6,7.137644937246613
Semi-Pro,5.8,6.334555349824467
The Lake House,6.8,7.224067701880491
The Girl Next Door,6.5,5.975279067363472
The Book of Eli,6.8,6.506224316027504
Blood Diamond,8.0,7.603301790710836
Just Like Heaven,6.7,6.494703549049793
Ip Man,8.0,7.14889600087206
21,6.8,7.3792138069433335
Friday the 13th,5.5,5.956926773912733
Let Me In,7.1,6.105313537555484
A Nightmare on Elm Street,5.2,5.979058684774953
Miss Congeniality 2: Armed and Fabulous,5.1,6.366784645593107
The Bucket List,7.4,7.022286054764393
Scary Movie 4,5.1,6.076805206956817
The Sweetest Thing,5.1,6.019442620508007
How Do You Know,5.4,6.350128370985158
Mr. Bean's Holiday,6.4,6.155877326331118
The Interpreter,6.4,6.54852105727986
John Q,7.0,6.828164754492342
3 Idiots,8.4,7.905717124693025
The One,5.9,5.846601773616281
The Texas Chainsaw Massacre,6.2,6.265776222537744
The Cat in the Hat,4.0,5.7097176478791125
Tears of the Sun,6.6,6.749074966640791
Due Date,6.5,7.115642105210863
We Are Marshall,7.0,6.861537621205264
Blood and Bone,6.7,6.203513417655198
Freddy vs. Jason,5.7,5.903063456957466
The Golden Compass,6.1,6.343669418697449
The Men Who Stare at Goats,6.2,6.831157587946983
Cleaner,6.1,6.178945302420884
Monster House,6.6,6.950408050473237
Good Luck Chuck,5.6,6.127720070911976
"10,000 BC",5.1,6.834811153167703
Cop Out,5.5,5.869473302577956
The Cave,5.1,5.2428639723983945
Starsky & Hutch,6.1,6.69939362859283
New York Minute,4.9,5.550210147923732
Rumor Has It...,5.5,6.397751397310591
Comedian,6.9,7.189590404010321
Catch and Release,5.9,6.35576623907745
Lagaan: Once Upon a Time in India,8.1,6.999377394258146
Friends with Money,5.8,6.285896128812261
Ip Man 2,7.5,6.734932762795289
Life As We Know It,6.5,6.456045639126992
Death at a Funeral,5.7,6.465891011643453
Dreamer: Inspired By a True Story,6.8,6.309180771372995
Premonition,5.9,6.589562850451759
Soul Plane,4.5,5.954299673922178
The Texas Chainsaw Massacre: The Beginning,5.8,6.736029539082785
Louis C.K.: Hilarious,8.4,6.027939416089328
Deck the Halls,5.0,5.939277133733389
Takers,6.2,6.125243665263704
Like Stars on Earth,8.3,7.04483268604124
Did You Hear About the Morgans?,4.9,6.41998728005868
Stuart Little 2,5.5,6.540509574941375
Half Past Dead,4.6,5.8692989050546265
Christmas with the Kranks,5.4,5.995773689467817
Alpha and Omega,5.1,5.912533236832054
Initial D,6.3,6.627378601385874
Naruto Shippuden the Movie,6.7,6.560867034252354
Gifted Hands: The Ben Carson Story,7.6,6.529966441788588
The Legend of the Nahuala,6.1,6.646615815217401
One Piece: Strong World,7.5,7.0091581437371415
Chaos,6.4,6.187395863756261
Waist Deep,5.8,6.185629760195643
Trailer Park Boys: The Movie,7.1,6.353477818591948
Tito,7.2,7.0062651246679595
Even the Rain,7.4,6.679713098615873
Katt Williams: The Pimp Chronicles Pt. 1,7.6,6.855832775154171
Udaan,8.1,6.81715762734205
Om Shanti Om,6.7,6.192176502248501
Trailer Park Boys: Countdown to Liquor Day,7.3,6.3694291293681236
Kabhi Khushi Kabhie Gham,7.4,7.123820996367769
Kal Ho Naa Ho,7.9,6.874099580888732
Jab We Met,7.9,6.7202390918689865
From Within,5.6,6.763649606862476
Black Friday,8.4,7.141672025602633
Jodhaa Akbar,7.5,7.4179686245034455
"Cairo 6,7,8",7.4,6.418011818672588
Zach Galifianakis: Live at the Purple Onion,7.2,6.958415152608226
First Sunday,4.5,6.341161172892234
Inuyasha the Movie: Affections Touching Across Time,7.2,6.921181339258888
Swades,8.1,7.311894114164126
Bon Cop Bad Cop,6.5,6.037466615073609
The Boy Who Cried Werewolf,5.9,5.39808525850038
Rang De Basanti,8.1,7.5376626618731954
Guru,7.7,7.648361193421995
Whitney Cummings: Money Shot,6.2,6.65729054783618
Welcome,7.0,6.338975098920871
Jim Gaffigan: King Baby,7.7,7.034759413224364
Mike Birbiglia: What I Should Have Said Was Nothing,7.6,5.987806615319424
Dil Chahta Hai,8.1,6.965312100541381
Anbe Sivam,8.7,7.013744189043233
Tony Manero,6.8,6.5638483937121315
A Lion in the House,8.7,8.109615179806221
Bleach the Movie: Fade to Black,7.1,7.162432536631723
Delta Farce,3.6,6.061839286405683
My Suicide,7.0,6.6926365200051015
Phir Hera Pheri,7.1,6.710863702102875
Naruto Shippuden the Movie: The Lost Tower,6.8,6.638472472304923
Divine Intervention,6.6,6.329676198771314
Da Kath & Kim Code,7.3,6.245480618678108
Kevin Hart: I'm a Grown Little Man,7.5,7.122401152193019
Bleach the Movie: Hell Verse,7.4,6.716269475633642
Naruto Shippuden the Movie: Bonds,6.8,6.883542936543976
Don,7.1,6.360777972531277
Chup Chup Ke,6.9,6.7173841020725185
Naruto Shippuden the Movie: The Will of Fire,7.0,7.142840710889038
Fashion,6.9,6.814258183709778
Arahan,6.6,5.927944569186693
Whisky,7.1,6.559926672990242
Ajab Prem Ki Ghazab Kahani,6.3,6.000318537275398
Te quiero,5.0,6.374465988260776
Sir! No Sir!,7.6,7.334124426994321
Race,7.0,6.444322410961146
Sivaji: The Boss,7.5,6.830914851112515
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,7.3,6.577943816215528
Interview with a Serial Killer,5.9,6.9864441306853955
G.O.R.A.,8.0,6.230984716707682
Guzaarish,7.4,6.219091503611054
Raajneeti,7.1,6.529401029610733
Jaane Tu... Ya Jaane Na,7.4,6.604652204413163
Accident,6.6,6.086066209926111
Jeff Dunham: Arguing with Myself,8.0,7.136069802716428
Chalte Chalte,6.5,6.815223828980715
Naruto: Ninja Clash in the Land of Snow,6.6,6.8411283877593725
Taxi No. 9 2 11,7.2,6.480478575501776
Yuva,7.3,6.473900768227651
Wake Up Sid,7.6,6.54007801302347
"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",7.0,7.165320608578133
Awara Paagal Deewana,6.2,6.4250622457466005
Kabhi Alvida Naa Kehna,6.0,6.78421499654298
The Blue Umbrella,7.3,6.191956199972846
Naruto: Guardians of the Crescent Moon Kingdom,6.4,6.897008940845862
Ishqiya,7.3,6.011819327609492
Life in a Metro,7.4,6.423572455447141
I Hate Luv Storys,5.6,6.181323067468919
Main Hoon Na,7.0,6.2737077014632705
Billu,6.3,6.767659287163463
Paheli,6.3,6.57657830102648
Rock On!!,7.7,6.893321714033681
"LSD: Love, Sex aur Dhokha",7.2,6.193581666836523
One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,6.9,7.111265322657888
Break Ke Baad,5.1,6.175690858802878
Kaminey,7.4,6.451173871382946
Fuga,6.2,6.390152657162681
Zozo,6.5,6.503027198845891
Luck by Chance,7.1,6.609664005324072
Trailer Park Boys: Say Goodnight to the Bad Guys,7.8,6.005976798016667
Naruto: Legend of the Stone of Gelel,6.4,7.146467480198374
Honeymoon Travels Pvt. Ltd.,6.1,6.434990500917726
Manorama Six Feet Under,7.6,6.697059731831279
Dhobi Ghat,7.0,6.421510639945314
Inuyasha the Movie 4: Fire on the Mystic Island,7.2,6.834919630504653
Dev.D,7.9,6.647388125565409
Karthik Calling Karthik,7.1,6.044737416459963
Dostana,6.5,6.607026326648678
Romantik Komedi,5.3,5.71864201273832
Kurbaan,5.7,6.232650887168786
Once Upon a Time in Mumbaai,7.4,5.9135844386371765
Delhi-6,6.1,6.851260345860122
Inuyasha the Movie 3: Swords of an Honorable Ruler,7.6,6.722686118792987
Bluffmaster!,6.6,6.108102573847591
Golmaal Returns,5.1,6.4989807058045885
Oye Lucky! Lucky Oye!,7.7,5.9473396494925534
Kaal,4.7,5.399857407576614
Shootout at Lokhandwala,7.1,6.990940063565404
Kannathil Muthamittal,8.4,6.806011165308859
Madness in the Desert,8.4,7.544189461113402
What's Your Raashee?,4.8,6.911807739594675
Kyaa Kool Hai Hum,6.1,6.78991380226592
My Führer,5.5,6.613092389381042
Eternal Summer,7.0,6.247634449872076
The Figurine (Araromire),4.4,6.144183356146049
Jim Gaffigan: Beyond the Pale,7.8,7.047682674649949
Mumbai Meri Jaan,7.7,6.716906836015252
Kevin James: Sweat the Small Stuff,7.4,6.822275178245289
Mukhsin,7.3,6.232425559723142
This Is the Life,6.3,7.170021688998644
The Unjust,6.6,6.047013637174992
The Trailer Park Boys Xmas Special,8.0,5.959772152383088
C Kkompany,5.5,6.449431583256775
Bosta,6.4,6.651802157928284
Linewatch,5.4,6.319455351308826
We Are Family,5.6,6.036327826605622
Love in a Puff,7.1,6.003838702839629
Lakshya,7.8,6.877140650773267
Agyaat,2.9,5.9229392392130755
Vizontele,8.0,6.694902619101243
Do Dooni Chaar,7.5,6.63775313468601
Welcome to Sajjanpur,6.9,6.697643277511858
Peepli Live,7.4,6.356388643917234
The Legend of Bhagat Singh,8.1,7.027774522091301
Banyuki,7.1,6.796257102889015
Main Aurr Mrs Khanna,3.4,6.256199803862851
Ishq Vishk,6.1,6.499658123633129
Kismat Konnection,5.3,6.593217549709829
Twins Mission,5.2,6.302547832644169
Frank & Cindy,6.9,7.3129177303402155
Salt of This Sea,6.8,6.2205073159443
Apaharan,7.4,6.82446396358602
Gangaajal,7.8,6.751167495915672
Laugh Out Loud,7.0,6.056649645888106
Ijé: The Journey,6.2,6.401000180502722
Harishchandrachi Factory,8.4,6.867097362703475
Gina Yashere: Skinny B*tch,6.5,6.941357023589231
Sergio,7.4,7.196970654858131
The Kite,6.4,6.436735090253475
Beast Stalker,6.8,5.902351610993313
Aamir,7.6,6.153122197338478
Chhota Bheem Aur Krishna,6.4,6.698794187613019
Palermo Hollywood,5.3,6.624409627400571
Connected,6.6,5.921013993664859
EMI,4.4,6.747235995248836
Kucch To Hai,4.3,5.783403617992712
Fida,5.4,5.928685911451751
My Amnesia Girl,6.7,5.720574915754418
Krishna Cottage,5.1,5.763933603774477
Jeff Dunham's Very Special Christmas Special,7.4,7.233311279758653
Mission Istaanbul,3.4,6.284982470842045
Under the Bombs,7.0,6.691897082212909
Kyo Kii... Main Jhuth Nahin Bolta,5.3,6.590649100086966
Old Thieves: The Legend of Artegio,8.0,7.232390536333432
Stray Bullet,6.3,6.202142423089212
Well Done Abba,7.2,6.367932310040572
Kisaan,5.5,6.11389983902818
Once a Gangster,5.7,5.70307645019219
Perazhagan,6.4,6.330349250525802
"Do Paise Ki Dhoop, Chaar Aane Ki Baarish",6.5,6.7359435237622804
Pomegranates and Myrrh,6.2,6.488713400568368
Kuselan,4.8,6.66589134319193
Chance Pe Dance,4.8,6.160612953509111
Dhan Dhana Dhan Goal,5.0,6.774307427305762
Aagey Se Right,5.2,6.703899990669828
Falafel,6.7,6.3961407671348045
Hattrick,4.3,6.113917343760763
Look for a Star,5.6,6.312167956354697
Koi Aap Sa,5.5,6.48633402432371
Talentime,7.4,6.688913620587181
Dhoondte Reh Jaaoge,5.6,6.725038144676585
A Very Special Love,6.5,6.125371450831197
Ezra,6.4,6.486157489506853
Frontiers of Dreams and Fears,8.2,7.201916923365178
A Love Story,6.4,6.326930953798359
Bheem vs Aliens,7.6,6.763184764073174
Tango with Me,6.3,5.804216064725084
Brother's Shadow,6.1,6.484343301453007
Rabun,7.6,6.186723245381788
Project X,6.6,6.546084445031397
Zero Dark Thirty,7.4,7.78249453959303
The Amazing Spider-Man,6.9,7.319435302709024
The Dark Knight Rises,8.4,10.004107911445388
Mission: Impossible - Ghost Protocol,7.4,6.935839563923743
Margin Call,7.1,6.573633837922154
Django Unchained,8.4,9.98747472317108
Les Misérables,7.5,7.7614309591771775
Argo,7.7,7.674008297995852
Kung Fu Panda 2,7.2,7.01626917558209
Contagion,6.8,6.474639615965741
Sherlock Holmes: A Game of Shadows,7.4,6.895641132526798
Contraband,6.4,6.29511072194955
Savages,6.4,6.477923016218563
Dark Shadows,6.2,6.414116888477081
Total Recall,6.2,6.108979264371947
The Smurfs,5.4,6.489116527706862
Soul Surfer,7.0,6.1808968525368755
LOL,4.3,6.159588991822832
Unknown,6.8,6.296852401800472
Rise of the Guardians,7.2,6.413998041165411
Here Comes the Boom,6.4,6.00913135823165
Berserk: The Golden Age Arc I - The Egg of the King,7.5,6.554089734186957
Rurouni Kenshin Part I: Origins,7.4,6.968570927465297
Everything Must Go,6.4,6.179811889194898
Silenced,8.0,6.594006239928801
The Rite,6.0,6.10967627532616
Quartet,6.8,6.08211442518486
Arthur Christmas,7.1,6.895320007482837
John Mulaney: New in Town,8.2,6.78300767464917
Hop,5.4,6.647019945057157
Red Riding Hood,5.4,5.672584560027921
The History of Future Folk,7.1,5.782275327038821
A Very Harold & Kumar Christmas,6.2,6.010880888721963
Escape from Planet Earth,5.8,6.354857471274953
One Piece Film: Z,7.8,6.793747461970101
Bully,7.4,7.271915219494898
"Chaos, Disorder",6.2,5.932132558804071
Sebastian Maniscalco: What's Wrong with People?,8.0,5.945487902116143
Singham,6.8,6.411401902202346
Berserk: The Golden Age Arc II - The Battle for Doldrey,7.7,6.584740837985888
Zindagi Na Milegi Dobara,8.1,6.559380749701202
Sleepless Nights,7.7,7.249821759161963
A Princess for Christmas,6.3,5.585606643104422
Middle of Nowhere,6.5,6.46734851453875
Donald Glover: Weirdo,7.4,6.818245658978681
Delhi Belly,7.5,5.715199500677418
Undefeated,7.7,7.205521146114038
Barfi!,8.1,6.555072473835901
6 Bullets,6.0,6.120568645100785
7 Khoon Maaf,6.2,6.470172449274218
Naruto Shippuden the Movie: Blood Prison,7.1,6.104796511181156
Maria Bamford: The Special Special Special!,7.0,5.723154603814365
The Trial of Adolf Eichmann,7.5,6.950682031313912
Don't Go Breaking My Heart,6.5,5.888708372977851
Jim Gaffigan: Mr. Universe,7.7,5.9709539715732225
A Second Chance,4.7,6.047949087730784
Big Time Movie,6.1,5.49658430350906
Paan Singh Tomar,8.2,6.167839033550653
Shor in the City,7.2,6.4138750873571135
FRED 3: Camp Fred,2.0,5.621846762923856
Don 2,7.0,5.967339498363242
Pyaar Ka Punchnama,7.6,6.411009129309715
Chillar Party,7.5,6.308688896181144
Talaash,7.2,6.541920250057904
Coming Forth by Day,6.5,6.3823634306688
The Great Magician,5.9,5.957546606557223
Arjun: The Warrior Prince,6.7,6.882160837783694
Toll Booth,6.4,6.38683513904791
No One Killed Jessica,7.2,6.532453298171944
Ferrari Ki Sawaari,6.4,6.288329274628518
Tiger & Bunny: The Beginning,6.6,6.319814676985721
The Dirty Picture,6.6,6.689662505715022
Kath & Kimderella,5.3,5.983525093015745
Rowdy Rathore,5.7,6.259820965468639
OMG: Oh My God!,8.1,6.705223661267275
Ek Main Aur Ekk Tu,5.7,6.0523821729829415
A Beautiful Life,6.7,6.192199646698828
Mugamoodi,5.1,6.513963493976622
Game,5.2,6.0069890261663215
Bodyguard,4.6,6.041436582604471
Material,7.1,6.323231441899533
Kyaa Super Kool Hain Hum,5.0,6.690666686779891
Jeff Dunham: Controlled Chaos,7.4,6.952919095511282
Players,4.2,6.105810558198579
Aiyyaa,4.3,6.09285965064481
Tere Naal Love Ho Gaya,5.8,6.045761259664116
Ragini MMS,5.1,5.785321144528016
Grandmaster,6.9,5.828085839404981
26 Years,6.3,6.38555757681262
Michael,5.3,6.23136901739244
"All's Well, Ends Well",5.1,5.897402685164309
Heroine,5.0,6.689137625416002
Lavell Crawford: Can a Brother Get Some Love?,6.9,7.003962256250134
Jeff Dunham: Minding the Monsters,7.0,6.032819151525143
Kalakalappu,6.9,6.456316599409277
Chhota Bheem & Krishna in Mayanagari,8.7,6.403668991196396
Chhota Bheem In Dholakpur to Kathmandu,7.9,6.774345376912003
An Elf's Story,5.1,5.923070074176712
Bbuddah Hoga Terra Baap,5.6,5.708693700921893
Luv Shuv Tey Chicken Khurana,6.6,6.304917101115343
Bwakaw,7.1,6.436583491706578
Blood Money,5.0,5.92504572944315
Shaitan,7.2,6.158925533774395
Department,3.2,6.0094722693207085
Asmaa,8.1,6.376299847638171
Thaandavam,6.1,6.117626249417726
Chota Bheem Aur Ganesh in the Amazing Odyssey,7.8,6.661152746425009
Question Mark,7.0,6.423198214354437
Husbands in Goa,3.8,6.425858653221008
Chhota Bheem and the Broken Amulet,7.7,6.719969194593599
Blitz Patrollie,5.4,5.845402822692482
Moshe Kasher: Live in Oakland,6.7,5.826812687258826
The Mistress,6.3,6.218079719102988
The Rise of Kirmada,8.2,6.7566003124955625
Vettai,6.0,5.98667668353667
Muran,6.3,6.084564628543068
A World Not Ours,7.8,7.292548294780018
Tom Papa: Live in New York City,7.2,5.818006634184612
Zokkomon,4.0,5.841087890639345
My Friend Pinto,5.3,6.409664271208962
Here Comes the Rain,6.3,6.402299804194274
One More Try,6.0,6.41337260288711
Chhota Bheem Master of Shaolin,6.1,6.816725044940151
No Other Woman,5.9,5.82521955943249
Sisterakas,5.0,6.448753231458263
Phone Swap,6.2,5.723073912148707
"Darling, Something's Wrong with Your Head",6.7,6.010148214077366
Paddington,7.2,6.714291369316222
It Follows,6.8,6.0252086017734685
The Imitation Game,8.0,8.191545091629349
Rush,8.1,7.300506692695995
Nightcrawler,7.8,7.510117403259322
St. Vincent,7.2,6.685459410882423
The Conjuring,7.5,6.6940450803019775
How to Train Your Dragon 2,7.8,6.991102311708495
Oldboy,5.7,6.164855985856972
Big Eyes,7.2,7.075139065994716
Begin Again,7.4,6.431947437741341
42,7.5,6.842836029735407
Olympus Has Fallen,6.5,6.670290200100126
Dark Skies,6.3,6.385419971732428
Blue Jasmine,7.3,6.788064050073819
Insidious: Chapter 2,6.5,5.973478852846979
Creep,6.3,5.490154972755628
Barefoot,6.6,6.083750550312743
The Giver,6.4,5.958735350025933
Mandela: Long Walk to Freedom,7.1,7.106335117681045
The Green Inferno,5.3,5.631664719586628
Empire State,5.2,5.884792082287291
Penguins of Madagascar,6.6,6.2380656507882195
A Walk Among the Tombstones,6.5,6.338056336251925
The Call,6.7,5.645575950600606
Scary Movie 5,3.5,5.822833912309315
Philomena,7.6,6.572694548278218
Seventh Son,5.5,6.0916578908788175
The Butler,7.2,6.860358397445728
Texas Chainsaw 3D,4.8,5.539657994030188
Cloudy with a Chance of Meatballs 2,6.3,6.764173649425865
Metallica: Through the Never,7.1,6.166712153000587
Mr. Peabody & Sherman,6.8,6.163573978557388
The Frozen Ground,6.4,6.420096295504523
Shrek the Musical,6.9,6.060503251605408
The Railway Man,7.1,6.782649459842114
Get on Up,6.9,6.765862081886717
Who Am I,7.5,6.071959124128494
The Battered Bastards of Baseball,8.0,7.015505701948422
Walk of Shame,6.0,6.246412725503157
Cowspiracy: The Sustainability Secret,8.2,7.060525957121597
The Smurfs 2,5.3,6.599510597638549
"I, Frankenstein",5.1,5.213924706803908
The November Man,6.2,5.919133494299642
PK,8.1,6.662163341128407
Bill Burr: I'm Sorry You Feel That Way,8.3,6.911535687034996
Copenhagen,7.0,6.039717025932079
Thanks for Sharing,6.4,6.240933110723204
Queen,8.1,6.890725510942476
Virunga,8.2,7.172534981980146
