title,imdb_score,predicted_score
Taxi Driver,8.2,8.338271912035195
Deliverance,7.7,6.215864256080733
Monty Python and the Holy Grail,8.2,6.870025452373465
The Dirty Dozen,7.7,7.384349784520996
Life of Brian,8.0,6.975524928892028
Dirty Harry,7.7,6.068847841368694
Bonnie and Clyde,7.7,7.3189696008034595
The Blue Lagoon,5.8,6.334542911538366
The Guns of Navarone,7.5,7.662741077308594
The Professionals,7.3,6.747439224293204
Richard Pryor: Live in Concert,8.1,7.001853707479893
White Christmas,7.5,7.252677990659455
Cairo Station,7.5,7.4853304740221045
Hitler: A Career,7.5,7.581077378829858
FTA,6.2,7.264207265807182
Alexandria… Why?,7.2,6.607083174367936
The Land,8.1,7.3862948591661794
Dostana,2.1,6.495039942169633
Saladin the Victorious,7.6,7.7139929906593405
Alibaba Aur 40 Chor,6.2,5.832730441188444
The Blazing Sun,7.4,7.353770223471059
Dark Waters,6.7,6.993551785869507
We Are All for the Fatherland,6.1,6.9301808616559395
Singapore,6.4,7.38953184857267
"Beirut, Oh Beirut",6.4,6.474926692279915
The Return of the Prodigal Son,7.2,6.537020629153597
Khoon Khoon,5.1,6.157163518692805
Manoranjan,6.5,6.353469738968834
Ujala,6.6,7.643048651815758
Whispers,7.8,7.349267577443477
Chadi Jawani Budhe Nu,4.6,6.064082654137683
Bandie,4.4,5.986125561889583
GoodFellas,8.7,9.461155925074536
Full Metal Jacket,8.3,8.70559825822804
Once Upon a Time in America,8.3,7.72567699444614
When Harry Met Sally...,7.7,6.8558703112061234
A Nightmare on Elm Street,7.4,6.488519787039689
Steel Magnolias,7.3,6.5330693679422795
Police Academy,6.7,6.681789183071021
Christine,6.7,6.008965040195701
Awakenings,7.8,7.060908510407115
National Lampoon's Christmas Vacation,7.5,6.799531116753322
Lean On Me,7.4,6.848745506092195
Eddie Murphy Raw,7.6,7.407763178360935
She's Gotta Have It,6.7,6.078656164697785
Endless Love,4.9,6.536623395283002
Vaashi,6.7,6.643505508564808
Mobile Suit Gundam: Char's Counterattack,7.3,7.396724240104535
Mobile Suit Gundam II: Soldiers of Sorrow,7.2,7.4897759231136085
Sam Kinison: Breaking the Rules,7.2,7.0978617254826695
Waiting for the Hearse,8.0,6.341529597850358
Tim Allen: Men Are Pigs,6.1,6.810470620023894
Mobile Suit Gundam III: Encounters in Space,7.6,7.583455162026891
Monty Python Live at the Hollywood Bowl,7.9,7.345323034158804
Disco Dancer,6.4,6.428162649293603
Agneepath,7.6,6.86211055887778
Parrot Sketch Not Included: Twenty Years of Monty Python,8.1,6.247423839071667
Too Young The Hero,6.7,6.9557754885989205
A Stoning in Fulham County,5.9,6.652838212605601
The Ryan White Story,7.2,6.744825220874802
Dil,6.6,6.723140963135657
Adam: His Song Continues,7.0,6.731576516119377
The George McKenna Story,6.0,6.724476401174809
In Defense of a Married Man,5.6,6.608600196347774
Mujrim,5.4,6.875213382183438
Aakhri Adaalat,5.1,6.281079681929899
"Alexandria, Again and Forever",6.5,6.677266765949968
Duniya,6.3,6.785237199340601
Strange Voices,6.3,6.736724885451544
Jaal,5.2,6.6236509494068905
Quiet Victory: The Charlie Wedemeyer Story,7.2,6.717410236256188
Muqaddar Ka Faisla,4.8,6.606190083835311
Pyar Ke Do Pal,6.1,6.5629099881220405
Sohni Mahiwal,6.1,6.445201643068221
Ek Jaan Hain Hum,6.3,6.053985354937058
An Egyptian Story,7.3,6.860985608750417
The Little Wars,6.3,6.935532470805023
Unspeakable Acts,6.1,6.661047530667659
Mission: Impossible,7.1,6.929182661434478
Se7en,8.6,10.116843959526978
Boogie Nights,7.9,7.56933593880173
Forrest Gump,8.8,11.03364492444145
Snatch,8.3,8.220909483990448
The Talented Mr. Ripley,7.4,7.171879915391343
Titanic,7.9,9.470913217746608
Starship Troopers,7.3,6.571220939143245
Mission: Impossible II,6.1,6.7815100439657625
Dumb and Dumber,7.3,7.2740722232828885
Gattaca,7.8,6.6492181765582785
Léon: The Professional,8.5,8.670018950138385
Natural Born Killers,7.3,6.35970152087976
